Archivo de entrada;Archivo de salida;Nombre del algoritmo;Tamano del arreglo;Caracteristica del arreglo;Resultado correcto;Tiempo;Memoria usada
100000_aleatorio_D7_b.txt;100000_aleatorio_D7_b_merge_sort_out.txt;merge_sort;100000;aleatorio;si;28;16384
100000_aleatorio_D7_b.txt;100000_aleatorio_D7_b_quick_sort_out.txt;quick_sort;100000;aleatorio;si;15;16384
100000_aleatorio_D7_b.txt;100000_aleatorio_D7_b_patience_sort_out.txt;patience_sort;100000;aleatorio;si;33;163840
100000_aleatorio_D7_b.txt;100000_aleatorio_D7_b_std_sort_out.txt;std_sort;100000;aleatorio;si;9;16384
100000_aleatorio_D7_c.txt;100000_aleatorio_D7_c_merge_sort_out.txt;merge_sort;100000;aleatorio;si;27;16384
100000_aleatorio_D7_c.txt;100000_aleatorio_D7_c_quick_sort_out.txt;quick_sort;100000;aleatorio;si;14;16384
100000_aleatorio_D7_c.txt;100000_aleatorio_D7_c_patience_sort_out.txt;patience_sort;100000;aleatorio;si;30;24576
100000_aleatorio_D7_c.txt;100000_aleatorio_D7_c_std_sort_out.txt;std_sort;100000;aleatorio;si;11;16384
100000_ascendente_D1_a.txt;100000_ascendente_D1_a_merge_sort_out.txt;merge_sort;100000;ordenado;si;12;16384
100000_ascendente_D1_a.txt;100000_ascendente_D1_a_quick_sort_out.txt;quick_sort;100000;ordenado;si;0;16384
100000_ascendente_D1_a.txt;100000_ascendente_D1_a_patience_sort_out.txt;patience_sort;100000;ordenado;si;2;16384
100000_ascendente_D1_a.txt;100000_ascendente_D1_a_std_sort_out.txt;std_sort;100000;ordenado;si;1;16384
100000_ascendente_D1_b.txt;100000_ascendente_D1_b_merge_sort_out.txt;merge_sort;100000;ordenado;si;16;16384
100000_ascendente_D1_b.txt;100000_ascendente_D1_b_quick_sort_out.txt;quick_sort;100000;ordenado;si;0;16384
100000_ascendente_D1_b.txt;100000_ascendente_D1_b_patience_sort_out.txt;patience_sort;100000;ordenado;si;2;16384
100000_ascendente_D1_b.txt;100000_ascendente_D1_b_std_sort_out.txt;std_sort;100000;ordenado;si;1;16384
100000_ascendente_D1_c.txt;100000_ascendente_D1_c_merge_sort_out.txt;merge_sort;100000;ordenado;si;25;16384
100000_ascendente_D1_c.txt;100000_ascendente_D1_c_quick_sort_out.txt;quick_sort;100000;ordenado;si;0;16384
100000_ascendente_D1_c.txt;100000_ascendente_D1_c_patience_sort_out.txt;patience_sort;100000;ordenado;si;3;16384
100000_ascendente_D1_c.txt;100000_ascendente_D1_c_std_sort_out.txt;std_sort;100000;ordenado;si;1;16384
100000_ascendente_D7_a.txt;100000_ascendente_D7_a_merge_sort_out.txt;merge_sort;100000;ordenado;si;14;16384
100000_ascendente_D7_a.txt;100000_ascendente_D7_a_quick_sort_out.txt;quick_sort;100000;ordenado;si;25;16384
100000_ascendente_D7_a.txt;100000_ascendente_D7_a_patience_sort_out.txt;patience_sort;100000;ordenado;si;34;3321856
100000_ascendente_D7_a.txt;100000_ascendente_D7_a_std_sort_out.txt;std_sort;100000;ordenado;si;2;16384
100000_ascendente_D7_b.txt;100000_ascendente_D7_b_merge_sort_out.txt;merge_sort;100000;ordenado;si;18;16384
100000_ascendente_D7_b.txt;100000_ascendente_D7_b_quick_sort_out.txt;quick_sort;100000;ordenado;si;20;16384
100000_ascendente_D7_b.txt;100000_ascendente_D7_b_patience_sort_out.txt;patience_sort;100000;ordenado;si;27;3428352
100000_ascendente_D7_b.txt;100000_ascendente_D7_b_std_sort_out.txt;std_sort;100000;ordenado;si;1;16384
100000_ascendente_D7_c.txt;100000_ascendente_D7_c_merge_sort_out.txt;merge_sort;100000;ordenado;si;14;16384
100000_ascendente_D7_c.txt;100000_ascendente_D7_c_quick_sort_out.txt;quick_sort;100000;ordenado;si;33;16384
100000_ascendente_D7_c.txt;100000_ascendente_D7_c_patience_sort_out.txt;patience_sort;100000;ordenado;si;36;3276800
100000_ascendente_D7_c.txt;100000_ascendente_D7_c_std_sort_out.txt;std_sort;100000;ordenado;si;1;16384
100000_descendente_D1_a.txt;100000_descendente_D1_a_merge_sort_out.txt;merge_sort;100000;decrecientemente;si;14;16384
100000_descendente_D1_a.txt;100000_descendente_D1_a_quick_sort_out.txt;quick_sort;100000;decrecientemente;si;0;16384
100000_descendente_D1_a.txt;100000_descendente_D1_a_patience_sort_out.txt;patience_sort;100000;decrecientemente;si;2;16384
100000_descendente_D1_a.txt;100000_descendente_D1_a_std_sort_out.txt;std_sort;100000;decrecientemente;si;2;16384
100000_descendente_D1_b.txt;100000_descendente_D1_b_merge_sort_out.txt;merge_sort;100000;decrecientemente;si;18;16384
100000_descendente_D1_b.txt;100000_descendente_D1_b_quick_sort_out.txt;quick_sort;100000;decrecientemente;si;0;16384
100000_descendente_D1_b.txt;100000_descendente_D1_b_patience_sort_out.txt;patience_sort;100000;decrecientemente;si;2;16384
100000_descendente_D1_b.txt;100000_descendente_D1_b_std_sort_out.txt;std_sort;100000;decrecientemente;si;1;16384
100000_descendente_D1_c.txt;100000_descendente_D1_c_merge_sort_out.txt;merge_sort;100000;decrecientemente;si;20;16384
100000_descendente_D1_c.txt;100000_descendente_D1_c_quick_sort_out.txt;quick_sort;100000;decrecientemente;si;0;16384
100000_descendente_D1_c.txt;100000_descendente_D1_c_patience_sort_out.txt;patience_sort;100000;decrecientemente;si;2;16384
100000_descendente_D1_c.txt;100000_descendente_D1_c_std_sort_out.txt;std_sort;100000;decrecientemente;si;1;16384
100000_descendente_D7_a.txt;100000_descendente_D7_a_merge_sort_out.txt;merge_sort;100000;decrecientemente;si;17;16384
100000_descendente_D7_a.txt;100000_descendente_D7_a_quick_sort_out.txt;quick_sort;100000;decrecientemente;si;16;16384
100000_descendente_D7_a.txt;100000_descendente_D7_a_patience_sort_out.txt;patience_sort;100000;decrecientemente;si;1;16384
100000_descendente_D7_a.txt;100000_descendente_D7_a_std_sort_out.txt;std_sort;100000;decrecientemente;si;1;16384
100000_descendente_D7_b.txt;100000_descendente_D7_b_merge_sort_out.txt;merge_sort;100000;decrecientemente;si;11;16384
100000_descendente_D7_b.txt;100000_descendente_D7_b_quick_sort_out.txt;quick_sort;100000;decrecientemente;si;14;16384
100000_descendente_D7_b.txt;100000_descendente_D7_b_patience_sort_out.txt;patience_sort;100000;decrecientemente;si;1;16384
100000_descendente_D7_b.txt;100000_descendente_D7_b_std_sort_out.txt;std_sort;100000;decrecientemente;si;1;16384
100000_descendente_D7_c.txt;100000_descendente_D7_c_merge_sort_out.txt;merge_sort;100000;decrecientemente;si;12;16384
100000_descendente_D7_c.txt;100000_descendente_D7_c_quick_sort_out.txt;quick_sort;100000;decrecientemente;si;23;16384
100000_descendente_D7_c.txt;100000_descendente_D7_c_patience_sort_out.txt;patience_sort;100000;decrecientemente;si;0;16384
100000_descendente_D7_c.txt;100000_descendente_D7_c_std_sort_out.txt;std_sort;100000;decrecientemente;si;1;16384
1000_aleatorio_D1_a.txt;1000_aleatorio_D1_a_merge_sort_out.txt;merge_sort;1000;aleatorio;si;0;16384
1000_aleatorio_D1_a.txt;1000_aleatorio_D1_a_quick_sort_out.txt;quick_sort;1000;aleatorio;si;0;12288
1000_aleatorio_D1_a.txt;1000_aleatorio_D1_a_patience_sort_out.txt;patience_sort;1000;aleatorio;si;0;16384
1000_aleatorio_D1_a.txt;1000_aleatorio_D1_a_std_sort_out.txt;std_sort;1000;aleatorio;si;0;16384
1000_aleatorio_D1_b.txt;1000_aleatorio_D1_b_merge_sort_out.txt;merge_sort;1000;aleatorio;si;0;16384
1000_aleatorio_D1_b.txt;1000_aleatorio_D1_b_quick_sort_out.txt;quick_sort;1000;aleatorio;si;0;8192
1000_aleatorio_D1_b.txt;1000_aleatorio_D1_b_patience_sort_out.txt;patience_sort;1000;aleatorio;si;0;16384
1000_aleatorio_D1_b.txt;1000_aleatorio_D1_b_std_sort_out.txt;std_sort;1000;aleatorio;si;0;16384
1000_aleatorio_D1_c.txt;1000_aleatorio_D1_c_merge_sort_out.txt;merge_sort;1000;aleatorio;si;0;16384
1000_aleatorio_D1_c.txt;1000_aleatorio_D1_c_quick_sort_out.txt;quick_sort;1000;aleatorio;si;0;12288
1000_aleatorio_D1_c.txt;1000_aleatorio_D1_c_patience_sort_out.txt;patience_sort;1000;aleatorio;si;0;12288
