Archivo de entrada;Archivo de salida;Nombre del algoritmo;Tamano de la matriz;Caracteristica de la matriz;Tiempo;Memoria usada
64_densa_D10_b_1.txt;64_densa_D10_b_naive_out.txt;naive;64x64;densa;0;16384
64_densa_D10_b_1.txt;64_densa_D10_b_strassen_out.txt;strassen;64x64;densa;0;16384
64_densa_D10_c_1.txt;64_densa_D10_c_naive_out.txt;naive;64x64;densa;0;16384
64_densa_D10_c_1.txt;64_densa_D10_c_strassen_out.txt;strassen;64x64;densa;0;16384
64_diagonal_D0_a_1.txt;64_diagonal_D0_a_naive_out.txt;naive;64x64;diagonal;0;16384
64_diagonal_D0_a_1.txt;64_diagonal_D0_a_strassen_out.txt;strassen;64x64;diagonal;0;16384
64_diagonal_D0_b_1.txt;64_diagonal_D0_b_naive_out.txt;naive;64x64;diagonal;0;16384
64_diagonal_D0_b_1.txt;64_diagonal_D0_b_strassen_out.txt;strassen;64x64;diagonal;0;16384
64_diagonal_D0_c_1.txt;64_diagonal_D0_c_naive_out.txt;naive;64x64;diagonal;0;16384
64_diagonal_D0_c_1.txt;64_diagonal_D0_c_strassen_out.txt;strassen;64x64;diagonal;0;16384
64_diagonal_D10_a_1.txt;64_diagonal_D10_a_naive_out.txt;naive;64x64;diagonal;0;16384
64_diagonal_D10_a_1.txt;64_diagonal_D10_a_strassen_out.txt;strassen;64x64;diagonal;0;12288
64_diagonal_D10_b_1.txt;64_diagonal_D10_b_naive_out.txt;naive;64x64;diagonal;2;16384
64_diagonal_D10_b_1.txt;64_diagonal_D10_b_strassen_out.txt;strassen;64x64;diagonal;0;16384
64_diagonal_D10_c_1.txt;64_diagonal_D10_c_naive_out.txt;naive;64x64;diagonal;0;16384
64_diagonal_D10_c_1.txt;64_diagonal_D10_c_strassen_out.txt;strassen;64x64;diagonal;1;16384
64_dispersa_D0_a_1.txt;64_dispersa_D0_a_naive_out.txt;naive;64x64;dispersa;0;16384
64_dispersa_D0_a_1.txt;64_dispersa_D0_a_strassen_out.txt;strassen;64x64;dispersa;0;16384
64_dispersa_D0_b_1.txt;64_dispersa_D0_b_naive_out.txt;naive;64x64;dispersa;0;16384
64_dispersa_D0_b_1.txt;64_dispersa_D0_b_strassen_out.txt;strassen;64x64;dispersa;0;16384
64_dispersa_D0_c_1.txt;64_dispersa_D0_c_naive_out.txt;naive;64x64;dispersa;0;16384
64_dispersa_D0_c_1.txt;64_dispersa_D0_c_strassen_out.txt;strassen;64x64;dispersa;0;16384
64_dispersa_D10_a_1.txt;64_dispersa_D10_a_naive_out.txt;naive;64x64;dispersa;0;16384
64_dispersa_D10_a_1.txt;64_dispersa_D10_a_strassen_out.txt;strassen;64x64;dispersa;0;16384
64_dispersa_D10_b_1.txt;64_dispersa_D10_b_naive_out.txt;naive;64x64;dispersa;0;16384
64_dispersa_D10_b_1.txt;64_dispersa_D10_b_strassen_out.txt;strassen;64x64;dispersa;0;16384
64_dispersa_D10_c_1.txt;64_dispersa_D10_c_naive_out.txt;naive;64x64;dispersa;0;16384
64_dispersa_D10_c_1.txt;64_dispersa_D10_c_strassen_out.txt;strassen;64x64;dispersa;0;16384
